hospitalID,expenditure,efficiency
1345,20944,0.004750764
1346,22090,0.004391127
1347,14518,0.006743353
1348,12189,0.007777504
1349,15118,0.005999471
1350,20784,0.004652617
1351,20621,0.004694244
1352,20784,0.004652617
1353,20621,0.004694244
1354,20784,0.004652617
1355,20621,0.004694244
1356,22402,0.004343362
1357,14463,0.006457858
1358,17843,0.005408283
1359,15714,0.006204658
1360,13761,0.006881767
1361,15589,0.006158188
1362,18840,0.00522293
1363,20433,0.004747223
1364,14387,0.006749149
1365,13830,0.006912509
1366,16658,0.005294753
1367,16196,0.005735984
1368,13343,0.007262235
1369,17096,0.005820075
1370,17096,0.005820075
1371,15893,0.005977474
1372,16574,0.006003379
1373,19509,0.004966938
1374,19509,0.004966938
1375,19407,0.004828155
1376,20275,0.0048582
1377,20376,0.004632901
1378,20772,0.00468419
1379,19247,0.005096898
1380,18874,0.005245311
1381,18951,0.005165954
1382,18951,0.005165954
1383,12780,0.007323944
1384,15740,0.006048285
1385,19509,0.004931057
1386,17259,0.005660815
1387,17668,0.005507132
1388,18215,0.005385671
1389,18215,0.005385671
1390,22204,0.004445145
1391,21915,0.004494638
1392,20732,0.004775227
1393,17020,0.005752056
1394,20687,0.004775946
1395,19702,0.004999492
1396,22286,0.004424302
1397,18227,0.005453448
1398,17716,0.005463987
1399,17521,0.005696022
1400,21710,0.004491018
1401,19752,0.005032402
1402,21710,0.004491018
1403,19752,0.005032402
1404,21437,0.0045762
1405,18460,0.005222102
1406,18577,0.005199978
1407,22122,0.004357653
1408,19177,0.005021641
1409,20023,0.00470459
1410,19177,0.005021641
1411,20023,0.00470459
1412,20438,0.004765633
1413,22103,0.004456409
1414,20605,0.004790099
1415,21863,0.004363537
1416,19912,0.004675573
1417,19434,0.005063291
1418,19651,0.004941224
1419,19519,0.00510272
1420,19477,0.005113724
1421,19634,0.005021901
1422,20947,0.004487516
1423,20043,0.004934391
1424,18325,0.005369714
1425,18153,0.005409574
1426,21803,0.004430583
1427,17246,0.0055955
1428,20015,0.004951287
1429,20510,0.004773281
1430,19909,0.004922397
1431,21776,0.004527921
1432,21044,0.004656909
1433,20895,0.004747547
1434,20840,0.004587332
1435,17726,0.005551168
1436,21551,0.004519512
1437,19918,0.004839843
1438,12186,0.007615296
1439,20677,0.004787929
1440,19918,0.004839843
1441,12186,0.007615296
1442,20677,0.004787929
1443,19918,0.004839843
1444,12186,0.007615296
1445,20677,0.004787929
1446,18599,0.005209958
1447,18292,0.004865515
1448,18295,0.004995901
1449,18292,0.004865515
1450,18295,0.004995901
1451,16565,0.005952309
1452,15628,0.005483747
1453,16565,0.005952309
1454,15628,0.005483747
1455,19155,0.00504829
1456,20615,0.00475382
1457,20492,0.004367558
1458,25114,0.003826551
1459,22084,0.004333454
1460,22889,0.004246581
1461,15980,0.005763454
1462,23345,0.004210752
1463,15980,0.005763454
1464,23345,0.004210752
1465,19662,0.005030007
1466,18961,0.005089394
1467,19662,0.005030007
